spread,result,cover_prob,push_prob,not_cover_prob
-58,38,-7.57E-29,8.81E-29,1
-58,39,-1.86E-29,2.16E-29,1
-58,40,-4.50E-30,5.21E-30,1
-58,41,-1.08E-30,1.24E-30,1
-58,42,-2.53E-31,2.92E-31,1
-58,43,-5.90E-32,6.78E-32,1
-58,44,-1.36E-32,1.56E-32,1
-58,45,-3.08E-33,3.53E-33,1
-58,46,-6.94E-34,7.93E-34,1
-58,47,-1.55E-34,1.77E-34,1
-58,48,-3.43E-35,3.90E-35,1
-58,49,-7.51E-36,8.53E-36,1
-58,50,-1.64E-36,1.85E-36,1
-58,51,-3.54E-37,4.00E-37,1
-58,52,-7.61E-38,8.59E-38,1
-58,53,-1.63E-38,1.83E-38,1
-58,54,-3.46E-39,3.89E-39,1
-58,55,-7.32E-40,8.22E-40,1
-58,56,-1.54E-40,1.73E-40,1
-58,57,-3.24E-41,3.62E-41,1
-58,58,-6.78E-42,7.57E-42,1
-58,59,-1.41E-42,1.58E-42,1
-58,60,-2.94E-43,3.27E-43,1
-57.5,-60,0.425610799,0,0.574389201
-57.5,-59,0.4080477,0,0.5919523
-57.5,-58,0.390071803,0,0.609928197
-57.5,-57,0.371703227,0,0.628296773
-57.5,-56,0.352969031,0,0.647030969
-57.5,-55,0.333904324,0,0.666095676
-57.5,-54,0.314553432,0,0.685446568
-57.5,-53,0.294971074,0,0.705028926
-57.5,-52,0.275223487,0,0.724776513
-57.5,-51,0.25538939,0,0.74461061
-57.5,-50,0.235560668,0,0.764439332
-57.5,-49,0.215842616,0,0.784157384
-57.5,-48,0.196353548,0,0.803646452
-57.5,-47,0.177223587,0,0.822776413
-57.5,-46,0.158592428,0,0.841407572
-57.5,-45,0.140605939,0,0.859394061
-57.5,-44,0.123411534,0,0.876588466
-57.5,-43,0.107152408,0,0.892847592
-57.5,-42,0.091960893,0,0.908039107
-57.5,-41,0.077951399,0,0.922048601
-57.5,-40,0.06521359,0,0.93478641
-57.5,-39,0.053806572,0,0.946193428
