"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"San Diego State Aztecs","San Diego St.","San Diego State ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego-st.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#002868","#84BCE8","#207BC1",NA,"#4a317a","#AFAFAF"
"San Diego Toreros","San Diego","San Diego","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#A6192E","#000000","#ffffff",NA,"#10225e","#862B30"
"San Francisco Dons","San Francisco","San Francisco","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-francisco.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#FDBB30","#00543C","#919194",NA,"#10225e","#862B30"
"San Jose State Spartans","San Jose St.","San Jose State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-jose-st.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#0055A2","#E5A823","#939597",NA,"#4a317a","#AFAFAF"
"Santa Clara Broncos","Santa Clara","Santa Clara","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/santa-clara.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#862633","#ffffff",NA,NA,"#10225e","#862B30"
"Seattle U","Seattle U","Seattle","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/seattle.svg","WAC","WAC","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png","#AA0000","#333333",NA,NA,"#98002e","#d9d4cc"
"Seton Hall Pirates","Seton Hall","Seton Hall","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/seton-hall.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#004488","#A2AAAD",NA,NA,"#163e79","#DA3742"
"SFA","SFA","Stephen F. Austin","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stephen-f-austin.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#3F2A55","#ffffff",NA,NA,"#002649","#ffffff"
"Siena","Siena","Siena","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/siena.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#FFC72C","#C8102E","#006747","#693F23","#2d4ca0","#D03C40"
"SIUE","SIUE","SIU Edwardsville","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/siu-edwardsville.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#CC0000","#ffffff",NA,NA,"#a51341","#000000"
"SMU","SMU","Southern Methodist","https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/350px-SMU_Mustang_logo.svg.png","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#CC0035","#354CA1",NA,NA,"#0a1f3f","#D0392B"
"South Alabama Jaguars","South Alabama","South Alabama","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-ala.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#00205B","#BF0D3E",NA,NA,"#205296","#F3BA44"
"South Carolina Gamecocks","South Carolina","South Carolina","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-carolina.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#73000A","#000000",NA,NA,"#264279","#F8D366"
"South Carolina State Bulldogs","South Carolina St.","South Carolina State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-carolina-st.svg","MEAC","MEAC","https://fbschedules.com/wp-content/uploads/2019/07/meac.png","#841A2B","#1E4692",NA,NA,"#481a72","#f7b04d"
"South Dakota Coyotes","South Dakota","South Dakota","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-dakota.svg","Summit League","Summit","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Summit_League_logo.svg/250px-Summit_League_logo.svg.png","#AD0000","#B4B4B4","#000000",NA,"#215499","#939598"
"South Dakota State Jackrabbits","South Dakota St.","South Dakota State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-dakota-st.svg","Summit League","Summit","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Summit_League_logo.svg/250px-Summit_League_logo.svg.png","#0033A0","#FFD100",NA,NA,"#215499","#939598"
"South Florida Bulls","South Fla.","South Florida","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-fla.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#006747","#CFC493",NA,NA,"#0a1f3f","#D0392B"
