Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Connecticut,Texas,Connecticut,2025-12-12,-13.5,0.897731302540291,147.614449754215
Connecticut,Texas,Texas,2025-12-12,13.5,0.102268697459709,147.614449754215
Texas,Connecticut,Texas,2025-12-12,13.5,0.102268697459709,147.614449754215
Texas,Connecticut,Connecticut,2025-12-12,-13.5,0.897731302540291,147.614449754215
McNeese State,East Texas A&M,McNeese State,2025-12-12,-19.9,0.964880104180364,142.709834384821
McNeese State,East Texas A&M,East Texas A&M,2025-12-12,19.9,0.035119895819636,142.709834384821
East Texas A&M,McNeese State,East Texas A&M,2025-12-12,19.9,0.035119895819636,142.709834384821
East Texas A&M,McNeese State,McNeese State,2025-12-12,-19.9,0.964880104180364,142.709834384821
Austin Peay,East Tennessee State,Austin Peay,2025-12-12,1.2,0.457475050967747,142.03283492536
Austin Peay,East Tennessee State,East Tennessee State,2025-12-12,-1.2,0.542524949032253,142.03283492536
East Tennessee State,Austin Peay,East Tennessee State,2025-12-12,-1.2,0.542524949032253,142.03283492536
East Tennessee State,Austin Peay,Austin Peay,2025-12-12,1.2,0.457475050967747,142.03283492536
Xavier,Missouri State,Xavier,2025-12-12,-14.3,0.906750670556813,145.577489865065
Xavier,Missouri State,Missouri State,2025-12-12,14.3,0.0932493294431872,145.577489865065
Missouri State,Xavier,Missouri State,2025-12-12,14.3,0.0932493294431872,145.577489865065
Missouri State,Xavier,Xavier,2025-12-12,-14.3,0.906750670556813,145.577489865065
Eastern Washington,California Baptist,Eastern Washington,2025-12-12,1.3,0.45379181931906,149.847119806961
Eastern Washington,California Baptist,California Baptist,2025-12-12,-1.3,0.54620818068094,149.847119806961
California Baptist,Eastern Washington,California Baptist,2025-12-12,-1.3,0.54620818068094,149.847119806961
California Baptist,Eastern Washington,Eastern Washington,2025-12-12,1.3,0.45379181931906,149.847119806961
Queens,South Carolina State,Queens,2025-12-12,-19.4,0.95668666867893,156.157828883227
Queens,South Carolina State,South Carolina State,2025-12-12,19.4,0.0433133313210702,156.157828883227
South Carolina State,Queens,South Carolina State,2025-12-12,19.4,0.0433133313210702,156.157828883227
South Carolina State,Queens,Queens,2025-12-12,-19.4,0.95668666867893,156.157828883227
UMBC,Army,UMBC,2025-12-12,-7.3,0.751941330743161,147.260540106101
UMBC,Army,Army,2025-12-12,7.3,0.248058669256839,147.260540106101
Army,UMBC,Army,2025-12-12,7.3,0.248058669256839,147.260540106101
Army,UMBC,UMBC,2025-12-12,-7.3,0.751941330743161,147.260540106101
North Carolina A&T,Maryland-Eastern Shore,North Carolina A&T,2025-12-12,-9,0.799349248712378,132.080514793631
North Carolina A&T,Maryland-Eastern Shore,Maryland-Eastern Shore,2025-12-12,9,0.200650751287622,132.080514793631
Maryland-Eastern Shore,North Carolina A&T,Maryland-Eastern Shore,2025-12-12,9,0.200650751287622,132.080514793631
